Date,Day,Students_Expected,Meals_Prepared,Meals_Served,Previous_Waste_KG,Avg_Waste_Last_7Days,Holiday,Special_Event,Meal_Type,Food_Waste_KG
2023-06-01,Thursday,649,680,613,8.0,8.23,No,No,Lunch,8.23
2023-06-02,Friday,682,770,614,8.23,12.29,No,Yes,Dinner,16.35
2023-06-03,Saturday,486,508,414,16.35,12.43,No,No,Lunch,12.7
2023-06-04,Sunday,353,388,330,12.7,11.37,No,No,Lunch,8.2
2023-06-05,Monday,197,205,192,8.2,9.68,Yes,No,Dinner,2.94
2023-06-06,Tuesday,630,668,546,2.94,10.78,No,Yes,Dinner,16.27
2023-06-07,Wednesday,534,609,520,16.27,10.73,No,No,Dinner,10.41
2023-06-08,Thursday,628,668,548,10.41,12.05,No,No,Lunch,17.5
2023-06-09,Friday,251,280,244,17.5,11.05,Yes,No,Dinner,9.32
2023-06-10,Saturday,421,450,387,9.32,10.44,No,No,Lunch,8.44
2023-06-11,Sunday,290,323,268,8.44,10.9,No,No,Dinner,11.43
2023-06-12,Monday,715,738,614,11.43,13.03,No,No,Lunch,17.86
2023-06-13,Tuesday,664,690,642,17.86,12.13,No,No,Lunch,9.92
2023-06-14,Wednesday,437,496,436,9.92,12.12,No,No,Breakfast,10.36
2023-06-15,Thursday,442,500,404,10.36,10.58,No,No,Breakfast,6.7
2023-06-16,Friday,715,817,672,6.7,11.49,No,No,Lunch,15.71
2023-06-17,Saturday,336,358,284,15.71,11.96,No,No,Dinner,11.76
2023-06-18,Sunday,310,353,279,11.76,11.95,No,Yes,Breakfast,11.31
2023-06-19,Monday,665,743,644,11.31,11.54,No,No,Lunch,15.0
2023-06-20,Tuesday,587,627,587,15.0,11.33,No,No,Dinner,8.45
2023-06-21,Wednesday,724,779,640,8.45,12.63,No,No,Lunch,19.46
2023-06-22,Thursday,485,514,476,19.46,13.08,No,No,Dinner,9.86
2023-06-23,Friday,320,343,316,9.86,11.78,No,No,Breakfast,6.6
